granule_uid,star_name,mass,mass_error_min,mass_error_max,pl_massjlim,radius,radius_error_min,radius_error_max,pl_radjlim,rv_flag,tran_flag,ttv_flag,ima_flag,star_spec_type,flag_mE,flag_rE,mass_detection_type,radius_detection_type,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,pl_orbsmaxlim,period,period_error_min,period_error_max,pl_orbperlim,impact,inclination,star_teff,star_radius,star_mass,star_age,star_metallicity,st_metratio,st_lum,sy_snum,st_rotp,sy_pnum,cb_flag,ra,sy_dist,st_recentVenus,st_runawayGreenhouse,st_maxGreenhouse,st_earlyMars,st_half_Earth,st_five_Earth,age_flame,logg_gspphot,mass_flame,mh_gspphot,mh_gspspec,radius_flame,radius_gspphot,teff_esphs,teff_espucd,teff_gspphot,teff_gspspec,teff_msc1,ew_espels_halpha,ew_espels_halpha_model,ew_espels_halpha_flag,ew_espels_halpha_uncertainty
K2-240 b,K2-240,0.0157,0.0016,0.0006,,0.178,-0.009,0.018,,,1.0,,,M0.5 V,True,False,Theoretical,,0.0513,-0.0009,0.0009,,6.034,-0.001,0.001,,0.28,89.26,3810.0,0.54,0.58,,-0.1,[Fe/H],-1.276,1.0,10.8,2.0,,227.849371,72.9105,1.50870245660343,0.9403484448158899,0.257074249022425,0.231071895473709,1.00912174211996,0.83722806073447,9.111344337463379,4.55049991607666,0.5989661812782288,-0.6802999973297119,0.47999998927116394,0.6123519539833069,0.6273999810218811,,,3849.515380859375,4010.0,3990.85205078125,-0.1384933441877365,-0.3446980118751526,1,0.03593604266643524
K2-240 c,K2-240,0.0145,0.0022,0.0009,,0.161,-0.009,0.027,,,1.0,,,M0.5 V,True,False,Theoretical,,0.1159,-0.002,0.002,,20.523,-0.001,0.001,,0.29,89.66,3810.0,0.54,0.58,,-0.1,[Fe/H],-1.276,1.0,10.8,2.0,,227.849371,72.9105,1.50870245660343,0.9403484448158899,0.257074249022425,0.231071895473709,1.00912174211996,0.83722806073447,9.111344337463379,4.55049991607666,0.5989661812782288,-0.6802999973297119,0.47999998927116394,0.6123519539833069,0.6273999810218811,,,3849.515380859375,4010.0,3990.85205078125,-0.1384933441877365,-0.3446980118751526,1,0.03593604266643524
Kepler-114 b,Kepler-114,0.021,-0.011,0.014,,0.119,-0.005,0.006,,,1.0,,,M0 V,False,False,,,0.0484,-0.00175,0.00175,,5.18848874,-6.71e-06,6.71e-06,,0.179,89.39,4662.41,0.7,0.74,2.69,0.229,[M/H],-0.685,1.0,,3.0,,294.121482,259.533,1.5826818507190645,0.9864558873789084,0.29274864325376454,0.26314329614637416,1.0584370644077399,0.8801017440044445,,4.592199802398682,,0.3919000029563904,,0.7427474856376648,0.7397000193595886,,,4597.27392578125,,4597.734375,-0.01264249812811613,-0.05962400138378143,1,0.019042806699872017
Kepler-114 c,Kepler-114,0.126,-0.036,0.042,,0.153,-0.007,0.007,,,1.0,1.0,,M0 V,False,False,,,0.0648,-0.00235,0.00235,,8.04133337,-1.145e-05,1.145e-05,,0.26,89.36,4662.41,0.7,0.74,2.69,0.229,[M/H],-0.685,1.0,,3.0,,294.121482,259.533,1.5826818507190645,0.9864558873789084,0.29274864325376454,0.26314329614637416,1.0584370644077399,0.8801017440044445,,4.592199802398682,,0.3919000029563904,,0.7427474856376648,0.7397000193595886,,,4597.27392578125,,4597.734375,-0.01264249812811613,-0.05962400138378143,1,0.019042806699872017
Kepler-114 d,Kepler-114,0.012,-0.005,0.005,,0.246,-0.013,0.019,,,1.0,1.0,,M0 V,False,False,,,0.0836,-0.00303,0.00303,,11.77613041,-4.04e-06,4.04e-06,,0.54,88.87,4662.41,0.7,0.74,2.69,0.229,[M/H],-0.685,1.0,,3.0,,294.121482,259.533,1.5826818507190645,0.9864558873789084,0.29274864325376454,0.26314329614637416,1.0584370644077399,0.8801017440044445,,4.592199802398682,,0.3919000029563904,,0.7427474856376648,0.7397000193595886,,,4597.27392578125,,4597.734375,-0.01264249812811613,-0.05962400138378143,1,0.019042806699872017
Kepler-138 b,Kepler-138,0.00059,-0.00016,0.00016,,0.056,-0.002,0.003,,,1.0,1.0,,M1 V,False,False,,,0.076,-0.0033,0.0033,,10.31282204,-3.011e-05,3.011e-05,,0.061,88.45,3880.0,0.54,0.54,4.68,-0.24,[Fe/H],-1.219,1.0,,3.0,,290.3814122,66.8624,1.5126027663000001,0.9427775869,0.25955046625,0.23329824069,1.0117053156,0.8395304747,,,,,-0.11999999731779099,,,,,,3643.0,3999.64501953125,-0.006643742322921753,-0.32127898931503296,1,0.01314595341682434
Kepler-138 c,Kepler-138,0.01636,-0.00378,0.00378,,0.136,-0.005,0.012,,,1.0,1.0,,M1 V,False,False,,,0.0922,-0.004,0.004,,13.78110068,-6.03e-06,6.03e-06,,0.545,88.81,3880.0,0.54,0.54,4.68,-0.24,[Fe/H],-1.219,1.0,,3.0,,290.3814122,66.8624,1.5126027663000001,0.9427775869,0.25955046625,0.23329824069,1.0117053156,0.8395304747,,,,,-0.11999999731779099,,,,,,3643.0,3999.64501953125,-0.006643742322921753,-0.32127898931503296,1,0.01314595341682434
Kepler-138 d,Kepler-138,0.00368,-0.00094,0.00094,,0.118,-0.004,0.004,,,1.0,1.0,,M1 V,False,False,,,0.1301,-0.0056,0.0056,,23.08902241,-2.414e-05,2.414e-05,,0.32,88.952,3880.0,0.54,0.54,4.68,-0.24,[Fe/H],-1.219,1.0,,3.0,,290.3814122,66.8624,1.5126027663000001,0.9427775869,0.25955046625,0.23329824069,1.0117053156,0.8395304747,,,,,-0.11999999731779099,,,,,,3643.0,3999.64501953125,-0.006643742322921753,-0.32127898931503296,1,0.01314595341682434
Kepler-231 b,Kepler-231,0.111,-0.052,0.062,,0.179,-0.011,0.027,,,1.0,,,M1 V,False,False,,,0.076,,,,10.0652458,-2.118e-05,2.118e-05,,0.628,89.22,4079.0,0.59,0.64,3.47,-0.24,[Fe/H],-1.059,1.0,,2.0,,293.9733913,316.618,1.525585590008277,0.9508659259304353,0.26701654046015644,0.240010660546592,1.0203278700570346,0.8471405950481479,,4.669000148773193,,0.0015999999595806003,,0.5842540860176086,0.6233000159263611,,,4370.46337890625,,4362.587890625,-0.03244457021355629,-0.1455249935388565,1,0.04452275484800339
Kepler-231 c,Kepler-231,0.076,-0.035,0.042,,0.181,-0.006,0.008,,,1.0,1.0,,M1 V,False,False,,,0.1171,-0.00443,0.00443,,19.27153892,-4.145e-05,4.145e-05,,0.031,89.97,4079.0,0.59,0.64,3.47,-0.24,[Fe/H],-1.059,1.0,,2.0,,293.9733913,316.618,1.525585590008277,0.9508659259304353,0.26701654046015644,0.240010660546592,1.0203278700570346,0.8471405950481479,,4.669000148773193,,0.0015999999595806003,,0.5842540860176086,0.6233000159263611,,,4370.46337890625,,4362.587890625,-0.03244457021355629,-0.1455249935388565,1,0.04452275484800339
Kepler-26 b,Kepler-26,0.01579,-0.00201,0.00214,,0.285,-0.008,0.009,,,1.0,1.0,,M0 V,False,False,,,0.0847,-0.00393,0.00393,,12.28299829,-8e-06,8e-06,,0.047,89.93,4486.0,0.46,0.7,2.95,-0.21,[M/H],-1.111,1.0,,4.0,,284.9410627,335.307,1.5621926065925367,0.9736823860308286,0.2843565407020935,0.2555992110762581,1.0447405834768,0.8683344121372135,5.129895210266113,4.65880012512207,0.672127902507782,0.1459999978542328,,0.6350511908531189,0.6342999935150146,,,4260.41357421875,,4296.5048828125,-0.06830772757530212,-0.22982800006866455,1,0.043868593871593475
Kepler-26 c,Kepler-26,0.01919,-0.0022,0.0022,,0.266,-0.02,0.025,,,1.0,1.0,,M0 V,False,False,,,0.1063,-0.00493,0.00493,,17.25121397,-1.814e-05,1.814e-05,,0.749,89.09,4486.0,0.46,0.7,2.95,-0.21,[M/H],-1.111,1.0,,4.0,,284.9410627,335.307,1.5621926065925367,0.9736823860308286,0.2843565407020935,0.2555992110762581,1.0447405834768,0.8683344121372135,5.129895210266113,4.65880012512207,0.672127902507782,0.1459999978542328,,0.6350511908531189,0.6342999935150146,,,4260.41357421875,,4296.5048828125,-0.06830772757530212,-0.22982800006866455,1,0.043868593871593475
